Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Regulation of protein stability (GO:0031647),GO:0031647,Regulation of protein stability,1.105884715,0.20538104,0.613452186,0.269503546,0.613355777
Trabecula formation (GO:0060343),GO:0060343,Trabecula formation,1.206222939,0.205448155,0.613452186,0.423076923,0.613355777
Intestinal cholesterol absorption (GO:0030299),GO:0030299,Intestinal cholesterol absorption,1.22194565,0.205673759,0.613658838,0.1875,0.613562396
Inflammatory response to antigenic stimulus (GO:0002437),GO:0002437,Inflammatory response to antigenic stimulus,-1.151092528,0.205771644,0.613658838,0.25862069,0.613562396
Corticosteroid receptor signaling pathway (GO:0031958),GO:0031958,Corticosteroid receptor signaling pathway,1.230154744,0.205806689,0.613658838,0.285714286,0.613562396
Response to laminar fluid shear stress (GO:0034616),GO:0034616,Response to laminar fluid shear stress,-1.219551509,0.206540825,0.615533063,0.538461538,0.615436327
Regulation of growth hormone secretion (GO:0060123),GO:0060123,Regulation of growth hormone secretion,1.236060094,0.206725469,0.615533063,0.363636364,0.615436327
Transport across blood-brain barrier (GO:0150104),GO:0150104,Transport across blood-brain barrier,1.236046386,0.206725469,0.615533063,0.272727273,0.615436327
Positive regulation of macrophage migration (GO:1905523),GO:1905523,Positive regulation of macrophage migration,-1.183857337,0.206864564,0.61565913,0.346153846,0.615562374
Amelogenesis (GO:0097186),GO:0097186,Amelogenesis,1.20230477,0.207272089,0.616390381,0.375,0.61629351
Sulfur amino acid catabolic process (GO:0000098),GO:0000098,Sulfur amino acid catabolic process,1.228938761,0.207399307,0.616390381,0.466666667,0.61629351
Positive regulation of epidermal cell differentiation (GO:0045606),GO:0045606,Positive regulation of epidermal cell differentiation,1.202865518,0.207400881,0.616390381,0.16,0.61629351
Mitotic nuclear envelope reassembly (GO:0007084),GO:0007084,Mitotic nuclear envelope reassembly,1.23815599,0.208010336,0.61775009,0.2,0.617653006
Regulation of cardiocyte differentiation (GO:1905207),GO:1905207,Regulation of cardiocyte differentiation,1.176667409,0.208052561,0.61775009,0.229166667,0.617653006
Regulation of receptor-mediated endocytosis (GO:0048259),GO:0048259,Regulation of receptor-mediated endocytosis,1.140578987,0.208578237,0.619022071,0.363636364,0.618924786
Synaptic vesicle maturation (GO:0016188),GO:0016188,Synaptic vesicle maturation,1.224204248,0.208681135,0.61903504,0.416666667,0.618937754
Stem cell development (GO:0048864),GO:0048864,Stem cell development,1.152044196,0.209051377,0.61903504,0.292682927,0.618937754
"Dna damage response, signal transduction by p53 class mediator (GO:0030330)",GO:0030330,"Dna damage response, signal transduction by p53 class mediator",1.140576642,0.20909377,0.61903504,0.29245283,0.618937754
Regulation of t-helper 2 cell differentiation (GO:0045628),GO:0045628,Regulation of t-helper 2 cell differentiation,1.233628046,0.209114296,0.61903504,0.363636364,0.618937754
Release of sequestered calcium ion into cytosol by endoplasmic reticulum (GO:1903514),GO:1903514,Release of sequestered calcium ion into cytosol by endoplasmic reticulum,1.191543169,0.209124151,0.61903504,0.193548387,0.618937754
Positive regulation of establishment of protein localization (GO:1904951),GO:1904951,Positive regulation of establishment of protein localization,1.097924785,0.209166327,0.61903504,0.363636364,0.618937754
Positive regulation of muscle cell differentiation (GO:0051149),GO:0051149,Positive regulation of muscle cell differentiation,1.151065554,0.209272376,0.619041353,0.176470588,0.618944066
Nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423),GO:0070423,Nucleotide-binding oligomerization domain containing signaling pathway,1.179604574,0.209363035,0.619041353,0.351351351,0.618944066
Negative regulation of interleukin-12 production (GO:0032695),GO:0032695,Negative regulation of interleukin-12 production,1.217051519,0.209674486,0.619674295,0.4375,0.619576907
Determination of adult lifespan (GO:0008340),GO:0008340,Determination of adult lifespan,-1.207501975,0.210304242,0.620450629,0.25,0.62035312
Intraciliary transport (GO:0042073),GO:0042073,Intraciliary transport,-1.149821718,0.210332103,0.620450629,0.377358491,0.62035312
Antigen processing and presentation of exogenous peptide antigen via mhc class i (GO:0042590),GO:0042590,Antigen processing and presentation of exogenous peptide antigen via mhc class i,-1.140251522,0.210705851,0.620450629,0.41025641,0.62035312
Contractile actin filament bundle assembly (GO:0030038),GO:0030038,Contractile actin filament bundle assembly,1.138673477,0.21071883,0.620450629,0.29,0.62035312
Stress fiber assembly (GO:0043149),GO:0043149,Stress fiber assembly,1.138673477,0.21071883,0.620450629,0.29,0.62035312
Negative regulation of natural killer cell mediated cytotoxicity (GO:0045953),GO:0045953,Negative regulation of natural killer cell mediated cytotoxicity,-1.20677613,0.21074839,0.620450629,0.5625,0.62035312
Positive regulation of jnk cascade (GO:0046330),GO:0046330,Positive regulation of jnk cascade,-1.107999549,0.210846868,0.620450629,0.301470588,0.62035312
Negative regulation of release of cytochrome c from mitochondria (GO:0090201),GO:0090201,Negative regulation of release of cytochrome c from mitochondria,-1.191007756,0.210850239,0.620450629,0.285714286,0.62035312
Negative regulation of small molecule metabolic process (GO:0062014),GO:0062014,Negative regulation of small molecule metabolic process,1.136931964,0.210952381,0.620450629,0.206185567,0.62035312
Negative regulation of defense response to virus (GO:0050687),GO:0050687,Negative regulation of defense response to virus,-1.191348805,0.210953818,0.620450629,0.5,0.62035312
Transcription elongation from rna polymerase i promoter (GO:0006362),GO:0006362,Transcription elongation from rna polymerase i promoter,1.18870853,0.211052632,0.620450629,0.533333333,0.62035312
Bone cell development (GO:0098751),GO:0098751,Bone cell development,1.186469289,0.211107278,0.620450629,0.285714286,0.62035312
Complement receptor mediated signaling pathway (GO:0002430),GO:0002430,Complement receptor mediated signaling pathway,1.231166611,0.211503124,0.621327044,0.454545455,0.621229397
Adenohypophysis development (GO:0021984),GO:0021984,Adenohypophysis development,-1.227345578,0.211622807,0.621391749,0.454545455,0.621294092
Phospholipid homeostasis (GO:0055091),GO:0055091,Phospholipid homeostasis,1.224596586,0.211898641,0.621914693,0.307692308,0.621816954
Regulation of bmp signaling pathway (GO:0030510),GO:0030510,Regulation of bmp signaling pathway,1.144138634,0.212612323,0.62310375,0.404494382,0.623005824
Vitamin d metabolic process (GO:0042359),GO:0042359,Vitamin d metabolic process,1.203379863,0.212697848,0.62310375,0.454545455,0.623005824
Regulation of toll-like receptor 2 signaling pathway (GO:0034135),GO:0034135,Regulation of toll-like receptor 2 signaling pathway,1.233848989,0.212809155,0.62310375,0.6,0.623005824
Saliva secretion (GO:0046541),GO:0046541,Saliva secretion,1.218001,0.212947505,0.62310375,0.25,0.623005824
Proteasomal protein catabolic process (GO:0010498),GO:0010498,Proteasomal protein catabolic process,1.089139595,0.212996862,0.62310375,0.28721174,0.623005824
Pore complex assembly (GO:0046931),GO:0046931,Pore complex assembly,1.204977223,0.213073763,0.62310375,0.3,0.623005824
Plasma membrane tubulation (GO:0097320),GO:0097320,Plasma membrane tubulation,-1.196808189,0.213357648,0.62310375,0.368421053,0.623005824
Regulation of focal adhesion assembly (GO:0051893),GO:0051893,Regulation of focal adhesion assembly,1.158591665,0.213505462,0.62310375,0.26984127,0.623005824
Regulation of cell-substrate junction assembly (GO:0090109),GO:0090109,Regulation of cell-substrate junction assembly,1.158591665,0.213505462,0.62310375,0.26984127,0.623005824
Positive regulation of filopodium assembly (GO:0051491),GO:0051491,Positive regulation of filopodium assembly,1.186733309,0.213508772,0.62310375,0.366666667,0.623005824
Iron coordination entity transport (GO:1901678),GO:1901678,Iron coordination entity transport,1.221813495,0.21352444,0.62310375,0.357142857,0.623005824
Transcytosis (GO:0045056),GO:0045056,Transcytosis,1.207768735,0.213535174,0.62310375,0.578947368,0.623005824
Response to cocaine (GO:0042220),GO:0042220,Response to cocaine,1.171086226,0.21361186,0.62310375,0.208333333,0.623005824
Positive regulation of telomere maintenance (GO:0032206),GO:0032206,Positive regulation of telomere maintenance,-1.149223028,0.213864307,0.62310375,0.274509804,0.623005824
Positive regulation of cell adhesion mediated by integrin (GO:0033630),GO:0033630,Positive regulation of cell adhesion mediated by integrin,-1.196574102,0.213945037,0.62310375,0.5,0.623005824
Mrna destabilization (GO:0061157),GO:0061157,Mrna destabilization,-1.169430779,0.214151387,0.62310375,0.375,0.623005824
Animal organ maturation (GO:0048799),GO:0048799,Animal organ maturation,-1.176059225,0.214285714,0.62310375,0.192307692,0.623005824
Establishment of vesicle localization (GO:0051650),GO:0051650,Establishment of vesicle localization,1.111792612,0.214306527,0.62310375,0.257142857,0.623005824
Negative regulation of interferon-gamma production (GO:0032689),GO:0032689,Negative regulation of interferon-gamma production,-1.1637213,0.214319696,0.62310375,0.285714286,0.623005824
Positive regulation of calcium ion transmembrane transporter activity (GO:1901021),GO:1901021,Positive regulation of calcium ion transmembrane transporter activity,1.178424223,0.214581179,0.62310375,0.282051282,0.623005824
Detoxification of copper ion (GO:0010273),GO:0010273,Detoxification of copper ion,1.216063743,0.214616954,0.62310375,0.5,0.623005824
Stress response to copper ion (GO:1990169),GO:1990169,Stress response to copper ion,1.216063743,0.214616954,0.62310375,0.5,0.623005824
Neurotrophin signaling pathway (GO:0038179),GO:0038179,Neurotrophin signaling pathway,1.179772047,0.214619782,0.62310375,0.184210526,0.623005824
Dendritic spine development (GO:0060996),GO:0060996,Dendritic spine development,-1.124891019,0.214654003,0.62310375,0.245098039,0.623005824
Positive regulation of animal organ morphogenesis (GO:0110110),GO:0110110,Positive regulation of animal organ morphogenesis,1.147196259,0.21522859,0.624226961,0.4,0.624128858
Response to glucagon (GO:0033762),GO:0033762,Response to glucagon,1.18145653,0.215246637,0.624226961,0.457142857,0.624128858
Cardiac muscle cell proliferation (GO:0060038),GO:0060038,Cardiac muscle cell proliferation,1.167058558,0.215335247,0.624226961,0.28,0.624128858
Response to insecticide (GO:0017085),GO:0017085,Response to insecticide,1.225610233,0.215545755,0.624268384,0.181818182,0.624170275
Negative regulation of production of mirnas involved in gene silencing by mirna (GO:1903799),GO:1903799,Negative regulation of production of mirnas involved in gene silencing by mirna,1.218914095,0.215545755,0.624268384,0.5,0.624170275
Glycoprotein catabolic process (GO:0006516),GO:0006516,Glycoprotein catabolic process,1.196484039,0.215682819,0.624355239,0.32,0.624257116
Phenol-containing compound biosynthetic process (GO:0046189),GO:0046189,Phenol-containing compound biosynthetic process,1.169480635,0.21596324,0.624355239,0.318181818,0.624257116
Neuron fate commitment (GO:0048663),GO:0048663,Neuron fate commitment,1.157571846,0.216198347,0.624355239,0.203125,0.624257116
Regulation of mrna catabolic process (GO:0061013),GO:0061013,Regulation of mrna catabolic process,-1.087603629,0.216301935,0.624355239,0.252427184,0.624257116
Negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556),GO:1903556,Negative regulation of tumor necrosis factor superfamily cytokine production,-1.146808373,0.216322517,0.624355239,0.274509804,0.624257116
Lung epithelium development (GO:0060428),GO:0060428,Lung epithelium development,1.173726271,0.2163244,0.624355239,0.324324324,0.624257116
Mineralocorticoid biosynthetic process (GO:0006705),GO:0006705,Mineralocorticoid biosynthetic process,1.217559678,0.216489166,0.624355239,0.384615385,0.624257116
Mineralocorticoid metabolic process (GO:0008212),GO:0008212,Mineralocorticoid metabolic process,1.217559678,0.216489166,0.624355239,0.384615385,0.624257116
Regulation of glial cell proliferation (GO:0060251),GO:0060251,Regulation of glial cell proliferation,1.183944661,0.216666667,0.624355239,0.3,0.624257116
Peptidyl-lysine monomethylation (GO:0018026),GO:0018026,Peptidyl-lysine monomethylation,1.229932242,0.216685124,0.624355239,0.3,0.624257116
Neuromuscular process (GO:0050905),GO:0050905,Neuromuscular process,1.135354033,0.216716796,0.624355239,0.225490196,0.624257116
Negative regulation of natural killer cell mediated immunity (GO:0002716),GO:0002716,Negative regulation of natural killer cell mediated immunity,-1.193990212,0.216753217,0.624355239,0.529411765,0.624257116
Gonad development (GO:0008406),GO:0008406,Gonad development,1.109714531,0.216960513,0.624531125,0.33492823,0.624432975
Axonal transport (GO:0098930),GO:0098930,Axonal transport,1.15936706,0.217067109,0.624531125,0.355932203,0.624432975
Positive regulation of gene silencing by mirna (GO:2000637),GO:2000637,Positive regulation of gene silencing by mirna,1.194403572,0.21710873,0.624531125,0.25,0.624432975
Regulation of insulin receptor signaling pathway (GO:0046626),GO:0046626,Regulation of insulin receptor signaling pathway,1.15607454,0.217477656,0.625309683,0.365079365,0.62521141
Detection of temperature stimulus involved in sensory perception (GO:0050961),GO:0050961,Detection of temperature stimulus involved in sensory perception,1.21043292,0.21758596,0.625338511,0.166666667,0.625240233
Protein targeting (GO:0006605),GO:0006605,Protein targeting,1.088657902,0.217738714,0.625381129,0.310904872,0.625282845
Positive regulation of lipid storage (GO:0010884),GO:0010884,Positive regulation of lipid storage,1.193706724,0.217797357,0.625381129,0.24,0.625282845
Endochondral bone morphogenesis (GO:0060350),GO:0060350,Endochondral bone morphogenesis,-1.141076342,0.21823136,0.625811228,0.296296296,0.625712876
Mesenchyme development (GO:0060485),GO:0060485,Mesenchyme development,1.103620906,0.218289921,0.625811228,0.211895911,0.625712876
